route,flight_month,passengers,seats,departures,load_factor
BOS-DCA,2026-01-01,16669,30259,216,0.5508774248983773
BOS-DCA,2026-02-01,19136,29609,209,0.6462899793981559
BOS-DCA,2026-03-01,25156,35784,249,0.7029957522915269
BOS-DCA,2026-04-01,26553,33259,235,0.7983703659159926
BOS-LAX,2022-01-01,9346,14310,90,0.653109713487072
BOS-LAX,2022-02-01,11261,15582,98,0.7226928507251957
BOS-LAX,2022-03-01,13745,16218,102,0.8475151066715995
BOS-LAX,2022-04-01,15734,17967,113,0.8757165915289141
BOS-LAX,2022-05-01,19438,22345,140,0.8699037816066234
BOS-LAX,2022-06-01,16802,18285,115,0.9188952693464588
BOS-LAX,2022-07-01,20797,23055,145,0.9020602906094123
BOS-LAX,2022-08-01,21351,23302,146,0.9162732812634109
BOS-LAX,2022-09-01,21148,23211,145,0.9111197277153074
BOS-LAX,2022-10-01,22644,23890,150,0.9478442863122646
BOS-LAX,2022-11-01,19554,21643,136,0.9034791849558749
BOS-LAX,2022-12-01,18429,21095,132,0.8736193410760844
BOS-LAX,2023-01-01,17841,22532,141,0.7918072075270726
BOS-LAX,2023-02-01,14720,17524,110,0.8399908696644601
BOS-LAX,2023-03-01,16705,19092,120,0.8749738110203227
BOS-LAX,2023-04-01,16099,17676,111,0.9107829825752433
BOS-LAX,2023-05-01,20120,22767,143,0.8837352308165327
BOS-LAX,2023-06-01,19405,22287,140,0.8706869475478979
BOS-LAX,2023-07-01,20985,22932,144,0.9150968079539508
BOS-LAX,2023-08-01,21644,23272,146,0.930044688896528
BOS-LAX,2023-09-01,20000,22637,142,0.8835092989353713
BOS-LAX,2023-10-01,20283,21974,138,0.923045417311368
BOS-LAX,2023-11-01,17392,18621,117,0.9339992481606788
BOS-LAX,2023-12-01,18575,20275,127,0.9161528976572133
BOS-LAX,2024-01-01,13680,15592,98,0.8773730118009235
BOS-LAX,2024-02-01,14116,15761,99,0.8956284499714485
BOS-LAX,2024-03-01,16471,18610,117,0.8850617947340139
BOS-LAX,2024-04-01,16183,18450,116,0.8771273712737128
BOS-LAX,2024-05-01,20749,23064,145,0.8996271245230663
BOS-LAX,2024-06-01,19947,21791,137,0.9153779083107705
BOS-LAX,2024-07-01,21437,22648,142,0.946529494878135
BOS-LAX,2024-08-01,24749,27905,175,0.8869019888908798
BOS-LAX,2024-09-01,22385,26705,167,0.8382325407227111
BOS-LAX,2024-10-01,23922,26955,169,0.8874791318864774
BOS-LAX,2024-11-01,17089,18804,118,0.9087960008508827
BOS-LAX,2024-12-01,21434,22962,144,0.9334552739308423
BOS-LAX,2025-01-01,16436,20907,133,0.7861481800353949
BOS-LAX,2025-02-01,15589,18924,120,0.8237687592475164
BOS-LAX,2025-03-01,19526,23933,150,0.8158609451385117
BOS-LAX,2025-04-01,18704,21352,134,0.8759835144248782
BOS-LAX,2025-05-01,22215,25455,160,0.8727165586328816
BOS-LAX,2025-06-01,22170,25454,160,0.8709829496346351
BOS-LAX,2025-07-01,25501,28212,177,0.9039061392315327
BOS-LAX,2025-08-01,23615,26718,168,0.883861067445168
BOS-LAX,2025-09-01,19902,21791,137,0.9133128355743196
BOS-LAX,2025-10-01,20562,22363,141,0.9194651880338058
BOS-LAX,2025-11-01,15571,18011,113,0.8645272333573927
BOS-LAX,2025-12-01,20009,21679,136,0.9229669265187509
BOS-LAX,2026-01-01,15216,17315,109,0.878775628068149
BOS-LAX,2026-02-01,13240,14770,93,0.896411645226811
BOS-LAX,2026-03-01,17059,19125,120,0.8919738562091504
BOS-LAX,2026-04-01,17196,18614,116,0.9238207800580208
BOS-MCO,2022-01-01,21911,27968,161,0.7834310640732265
BOS-MCO,2022-02-01,25339,29051,174,0.8722247082716602
BOS-MCO,2022-03-01,28119,31418,186,0.8949964988223311
BOS-MCO,2022-04-01,34283,39154,233,0.875593809061654
BOS-MCO,2022-05-01,23476,29136,178,0.8057386051619989
BOS-MCO,2022-06-01,22112,24580,158,0.8995931651749389
BOS-MCO,2022-07-01,21203,23310,153,0.9096096096096096
BOS-MCO,2022-08-01,24275,27484,182,0.8832411584922136
BOS-MCO,2022-09-01,21025,25810,164,0.8146067415730337
BOS-MCO,2022-10-01,31756,37498,221,0.8468718331644355
BOS-MCO,2022-11-01,30018,38846,215,0.7727436544303146
BOS-MCO,2022-12-01,32319,36957,217,0.8745028005519928
BOS-MCO,2023-01-01,27965,35393,214,0.790127991410731
BOS-MCO,2023-02-01,27894,32040,189,0.8705992509363296
BOS-MCO,2023-03-01,29635,33950,205,0.8729013254786451
BOS-MCO,2023-04-01,31672,36616,219,0.864977059209089
BOS-MCO,2023-05-01,24105,28473,166,0.8465915077441787
BOS-MCO,2023-06-01,19855,22289,148,0.8907981515545785
BOS-MCO,2023-07-01,19954,21458,156,0.9299095908285954
BOS-MCO,2023-08-01,23666,25792,179,0.9175713399503722
BOS-MCO,2023-09-01,21746,25467,162,0.853889346998076
BOS-MCO,2023-10-01,25294,28959,184,0.8734417624917987
BOS-MCO,2023-11-01,30596,37076,237,0.8252238644945518
BOS-MCO,2023-12-01,32084,37020,242,0.8666666666666667
BOS-MCO,2024-01-01,22852,27489,179,0.831314343919386
BOS-MCO,2024-02-01,26405,29522,177,0.8944177223765327
BOS-MCO,2024-03-01,30935,36384,217,0.8502363676341249
BOS-MCO,2024-04-01,25433,30462,179,0.8349090670343379
BOS-MCO,2024-05-01,24799,29744,182,0.8337479827864444
BOS-MCO,2024-06-01,21363,24114,156,0.8859168947499378
BOS-MCO,2024-07-01,23234,24760,159,0.9383683360258481
BOS-MCO,2024-08-01,24948,27470,173,0.9081907535493265
BOS-MCO,2024-09-01,23717,28222,175,0.8403727588406208
BOS-MCO,2024-10-01,27667,31132,190,0.8886997301811641
BOS-MCO,2024-11-01,31690,38011,225,0.8337060324642867
BOS-MCO,2024-12-01,34856,40635,238,0.8577826996431648
BOS-MCO,2025-01-01,25786,32097,193,0.803377262672524
BOS-MCO,2025-02-01,29553,35032,213,0.843600137017584
BOS-MCO,2025-03-01,32568,45366,279,0.7178944584049729
BOS-MCO,2025-04-01,33440,41027,253,0.8150730007068516
BOS-MCO,2025-05-01,23088,28947,171,0.7975956057622552
BOS-MCO,2025-06-01,23758,27749,160,0.8561749972971999
BOS-MCO,2025-07-01,24334,27478,168,0.8855811922265084
BOS-MCO,2025-08-01,23495,27844,172,0.8438083608676914
BOS-MCO,2025-09-01,22216,26332,164,0.8436882880145831
BOS-MCO,2025-10-01,29669,33190,202,0.8939138294667068
BOS-MCO,2025-11-01,31208,37628,211,0.8293823748272563
BOS-MCO,2025-12-01,34826,39544,229,0.8806898644547846
BOS-MCO,2026-01-01,26823,32978,186,0.8133604220995816
BOS-MCO,2026-02-01,30534,34138,204,0.8944284961040483
BOS-MCO,2026-03-01,35615,44714,259,0.7965066869436865
BOS-MCO,2026-04-01,39064,47854,274,0.8163162953985038
JFK-FLL,2022-01-01,31789,45835,269,0.6935529617104833
JFK-FLL,2022-02-01,36826,47297,279,0.7786117512738652
JFK-FLL,2022-03-01,44809,54668,319,0.8196568376381064
JFK-FLL,2022-04-01,39324,47328,272,0.8308823529411765
JFK-FLL,2022-05-01,34008,40502,217,0.8396622389017826
JFK-FLL,2022-06-01,30753,35066,184,0.8770033650829864
JFK-FLL,2022-07-01,36548,39446,213,0.9265324747756426
JFK-FLL,2022-08-01,35654,40316,220,0.8843635281277905
JFK-FLL,2022-09-01,31482,39409,212,0.7988530538709432
JFK-FLL,2022-10-01,32086,36244,193,0.8852775631828717
JFK-FLL,2022-11-01,32355,36978,198,0.874979717669966
JFK-FLL,2022-12-01,37942,41395,222,0.9165841285179369
JFK-FLL,2023-01-01,31413,37218,207,0.8440270836691923
JFK-FLL,2023-02-01,32556,39384,220,0.8266301035953687
JFK-FLL,2023-03-01,42022,49479,273,0.8492895976070656
JFK-FLL,2023-04-01,36545,45582,253,0.8017419156684656
JFK-FLL,2023-05-01,32811,38964,223,0.842085001539883
JFK-FLL,2023-06-01,28336,33180,187,0.8540084388185654
JFK-FLL,2023-07-01,27030,28952,171,0.9336142580823432
JFK-FLL,2023-08-01,28802,31984,191,0.9005127563781891
JFK-FLL,2023-09-01,21716,26053,153,0.8335316470272137
JFK-FLL,2023-10-01,22451,25908,155,0.8665663115639957
JFK-FLL,2023-11-01,24310,27843,155,0.8731099378658909
JFK-FLL,2023-12-01,34412,37896,210,0.9080641756385899
JFK-FLL,2024-01-01,26480,31540,171,0.839568801521877
JFK-FLL,2024-02-01,24399,29380,170,0.8304628999319265
JFK-FLL,2024-03-01,29069,35372,214,0.8218082098835237
JFK-FLL,2024-04-01,33758,46292,268,0.7292404735159422
JFK-FLL,2024-05-01,26155,31145,185,0.839781666399101
JFK-FLL,2024-06-01,25524,29512,172,0.8648685280563838
JFK-FLL,2024-07-01,29295,31146,181,0.9405702176844538
JFK-FLL,2024-08-01,26842,29707,171,0.903558083953277
JFK-FLL,2024-09-01,21610,25478,150,0.8481827458984221
JFK-FLL,2024-10-01,25819,28952,163,0.8917864050842774
JFK-FLL,2024-11-01,30109,35872,209,0.8393454504906334
JFK-FLL,2024-12-01,39208,43030,250,0.911178247734139
JFK-FLL,2025-01-01,27172,36362,204,0.7472636268632088
JFK-FLL,2025-02-01,27567,35230,204,0.782486517172864
JFK-FLL,2025-03-01,28325,38580,229,0.7341886988076723
JFK-FLL,2025-04-01,28067,40312,234,0.6962442945028775
JFK-FLL,2025-05-01,24508,29450,173,0.8321901528013582
JFK-FLL,2025-06-01,24044,29564,173,0.8132864294412123
JFK-FLL,2025-07-01,25172,26874,158,0.9366674108804048
JFK-FLL,2025-08-01,24962,28936,167,0.8626624274260437
JFK-FLL,2025-09-01,19161,24348,138,0.7869640216855593
JFK-FLL,2025-10-01,23702,27762,158,0.8537569339384771
JFK-FLL,2025-11-01,25719,31390,183,0.8193373685887225
JFK-FLL,2025-12-01,34950,38396,224,0.9102510678195646
JFK-FLL,2026-01-01,24977,30970,185,0.8064901517597676
JFK-FLL,2026-02-01,27623,33818,193,0.8168135312555443
JFK-FLL,2026-03-01,32414,40342,230,0.8034802439145308
JFK-FLL,2026-04-01,27073,39750,229,0.6810817610062893
JFK-LAX,2022-01-01,21019,38372,241,0.5477692067132284
JFK-LAX,2022-02-01,25560,38531,242,0.6633619682852768
JFK-LAX,2022-03-01,34803,44307,277,0.785496648385131
JFK-LAX,2022-04-01,36943,41003,257,0.9009828549130552
JFK-LAX,2022-05-01,41433,46334,291,0.8942245435317477
JFK-LAX,2022-06-01,40942,45055,283,0.908711574741982
JFK-LAX,2022-07-01,41476,46000,289,0.9016521739130435
JFK-LAX,2022-08-01,41800,46601,293,0.8969764597326237
JFK-LAX,2022-09-01,40346,45435,283,0.8879938373500605
JFK-LAX,2022-10-01,42887,47148,296,0.9096250106049037
JFK-LAX,2022-11-01,45429,52567,330,0.8642113873723059
JFK-LAX,2022-12-01,43837,49558,311,0.8845595060333347
JFK-LAX,2023-01-01,35506,51026,320,0.6958413357895975
JFK-LAX,2023-02-01,31758,44385,279,0.7155119972963839
JFK-LAX,2023-03-01,37104,46616,292,0.7959498884503174
JFK-LAX,2023-04-01,39122,45514,285,0.8595596959177396
JFK-LAX,2023-05-01,42229,48969,307,0.8623619024280668
JFK-LAX,2023-06-01,38254,43409,273,0.8812458245985856
JFK-LAX,2023-07-01,42549,45988,288,0.92521962251022
JFK-LAX,2023-08-01,44601,49894,315,0.8939151000120255
JFK-LAX,2023-09-01,38785,46286,291,0.8379423583805038
JFK-LAX,2023-10-01,42028,50549,319,0.831430888840531
JFK-LAX,2023-11-01,39306,47063,299,0.8351783779189597
JFK-LAX,2023-12-01,37969,44390,279,0.8553503041225501
JFK-LAX,2024-01-01,30877,38769,246,0.7964352962418427
JFK-LAX,2024-02-01,29145,37997,239,0.7670342395452272
JFK-LAX,2024-03-01,33950,41593,262,0.8162431178323275
JFK-LAX,2024-04-01,33493,39415,248,0.8497526322466066
JFK-LAX,2024-05-01,34529,41134,259,0.8394272378081392
JFK-LAX,2024-06-01,37315,42166,265,0.8849547028411516
JFK-LAX,2024-07-01,43461,47406,297,0.9167826857359828
JFK-LAX,2024-08-01,39140,45408,286,0.8619626497533475
JFK-LAX,2024-09-01,38348,45551,286,0.8418695528089394
JFK-LAX,2024-10-01,40354,46144,293,0.8745232316227461
JFK-LAX,2024-11-01,36373,43560,285,0.8350091827364554
JFK-LAX,2024-12-01,46208,50679,327,0.9117780540263225
JFK-LAX,2025-01-01,31027,39512,250,0.7852551123709253
JFK-LAX,2025-02-01,29023,36589,232,0.7932165404903113
JFK-LAX,2025-03-01,35167,42742,275,0.8227738524168265
JFK-LAX,2025-04-01,37162,44964,286,0.8264834089493818
JFK-LAX,2025-05-01,34871,41320,262,0.8439254598257503
JFK-LAX,2025-06-01,37427,46448,292,0.805782810885291
JFK-LAX,2025-07-01,42698,50174,313,0.8509985251325388
JFK-LAX,2025-08-01,39735,49619,312,0.8008021120941575
JFK-LAX,2025-09-01,35413,45068,283,0.785768172539274
JFK-LAX,2025-10-01,38274,46719,294,0.8192384254799975
JFK-LAX,2025-11-01,37028,44529,283,0.8315479799681107
JFK-LAX,2025-12-01,43044,48649,313,0.8847869432054102
JFK-LAX,2026-01-01,36786,43351,276,0.8485617402136052
JFK-LAX,2026-02-01,30242,35607,227,0.8493273794478614
JFK-LAX,2026-03-01,37224,42762,272,0.8704924933352042
JFK-LAX,2026-04-01,37774,45103,286,0.8375052657251181
JFK-MCO,2022-01-01,31105,44392,244,0.7006893133898
JFK-MCO,2022-02-01,32718,43292,247,0.7557516400258708
JFK-MCO,2022-03-01,37512,43798,253,0.8564774647244167
JFK-MCO,2022-04-01,38764,43981,271,0.8813805961665264
JFK-MCO,2022-05-01,40126,46754,288,0.8582367284082645
JFK-MCO,2022-06-01,39159,43608,255,0.8979774353329665
JFK-MCO,2022-07-01,42045,45168,263,0.9308581296493093
JFK-MCO,2022-08-01,39657,44632,259,0.8885328911991396
JFK-MCO,2022-09-01,29467,37672,223,0.7821989806753026
JFK-MCO,2022-10-01,35895,41514,247,0.8646480705304235
JFK-MCO,2022-11-01,30869,36535,230,0.8449158341316546
JFK-MCO,2022-12-01,36202,40508,250,0.8937000098745926
JFK-MCO,2023-01-01,29698,39739,251,0.7473263041344774
JFK-MCO,2023-02-01,29704,37518,238,0.791726637880484
JFK-MCO,2023-03-01,36706,43642,273,0.8410705283900829
JFK-MCO,2023-04-01,36252,42783,268,0.8473459084215693
JFK-MCO,2023-05-01,39532,48444,284,0.8160350094955
JFK-MCO,2023-06-01,36207,42274,263,0.8564838908075886
JFK-MCO,2023-07-01,37993,39698,246,0.9570507330344098
JFK-MCO,2023-08-01,41019,44764,270,0.9163390224287373
JFK-MCO,2023-09-01,31263,39894,234,0.7836516769439014
JFK-MCO,2023-10-01,32501,38233,222,0.8500771584756623
JFK-MCO,2023-11-01,28390,33406,205,0.8498473328144645
JFK-MCO,2023-12-01,30121,34739,233,0.8670658337891131
JFK-MCO,2024-01-01,25657,32588,194,0.7873143488400638
JFK-MCO,2024-02-01,22791,28814,171,0.790969667522732
JFK-MCO,2024-03-01,27194,31322,188,0.8682076495753783
JFK-MCO,2024-04-01,30554,38546,229,0.7926633113682353
JFK-MCO,2024-05-01,32802,40856,251,0.8028686117094185
JFK-MCO,2024-06-01,35477,39181,231,0.905464383246982
JFK-MCO,2024-07-01,40768,43254,249,0.9425255467702409
JFK-MCO,2024-08-01,40252,44153,254,0.9116481326297193
JFK-MCO,2024-09-01,22125,26783,157,0.826083709815928
JFK-MCO,2024-10-01,24130,27556,159,0.8756713601393525
JFK-MCO,2024-11-01,28959,34756,218,0.8332086546207849
JFK-MCO,2024-12-01,36424,40304,246,0.9037316395394998
JFK-MCO,2025-01-01,23914,29342,182,0.815009201826733
JFK-MCO,2025-02-01,25240,32592,200,0.7744231713303878
JFK-MCO,2025-03-01,30040,40122,250,0.74871641493445
JFK-MCO,2025-04-01,34512,46054,284,0.7493811612454944
JFK-MCO,2025-05-01,31669,40828,239,0.7756686587635936
JFK-MCO,2025-06-01,31356,39018,238,0.8036290942641857
JFK-MCO,2025-07-01,34672,37193,231,0.9322184281988546
JFK-MCO,2025-08-01,33582,39138,244,0.8580407787827686
JFK-MCO,2025-09-01,21671,27220,168,0.7961425422483468
JFK-MCO,2025-10-01,25766,30460,184,0.8458962573867367
JFK-MCO,2025-11-01,29806,35635,202,0.8364248631962958
JFK-MCO,2025-12-01,34920,39690,222,0.8798185941043084
JFK-MCO,2026-01-01,24460,30246,165,0.8087019771209416
JFK-MCO,2026-02-01,26339,32492,178,0.8106303089991382
JFK-MCO,2026-03-01,31300,38386,218,0.8154014484447455
JFK-MCO,2026-04-01,35971,49423,280,0.727819031624952
