session_id,session_date,variant,device,channel,route_type,flight_selected,checkout_started,booking_completed,booking_revenue
S000163,2026-05-07,Control,Desktop,Email,Domestic,1,0,0,0
S000164,2026-05-06,Treatment,Mobile,Organic Search,Domestic,1,0,0,0
S000165,2026-05-06,Control,Mobile,Paid Search,Caribbean,1,1,1,271.26
S000166,2026-05-03,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000167,2026-05-19,Control,Desktop,Organic Search,Domestic,0,0,0,0
S000168,2026-05-18,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000169,2026-05-03,Control,Desktop,Direct,Domestic,0,0,0,0
S000170,2026-05-20,Treatment,Mobile,Direct,Domestic,1,0,0,0
S000171,2026-05-27,Control,Desktop,Direct,Domestic,1,1,0,0
S000172,2026-05-05,Treatment,Desktop,Organic Search,Domestic,1,0,0,0
S000173,2026-05-15,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000174,2026-05-28,Treatment,Mobile,Direct,Caribbean,0,0,0,0
S000175,2026-05-15,Control,Desktop,Organic Search,Domestic,0,0,0,0
S000176,2026-05-21,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
S000177,2026-05-17,Control,Mobile,Direct,Caribbean,1,1,0,0
S000178,2026-05-25,Treatment,Tablet,Direct,Domestic,0,0,0,0
S000179,2026-05-25,Control,Mobile,Direct,Domestic,1,1,0,0
S000180,2026-05-28,Treatment,Desktop,Direct,Domestic,1,0,0,0
S000181,2026-05-21,Control,Desktop,Direct,Domestic,0,0,0,0
S000182,2026-05-06,Treatment,Desktop,Paid Search,Domestic,1,0,0,0
S000183,2026-05-05,Control,Desktop,Paid Search,Domestic,1,1,1,305.75
S000184,2026-05-01,Treatment,Desktop,Email,Caribbean,1,1,0,0
S000185,2026-05-03,Control,Mobile,Direct,Domestic,1,0,0,0
S000186,2026-05-27,Treatment,Desktop,Direct,Domestic,1,1,0,0
S000187,2026-05-27,Control,Desktop,Organic Search,Caribbean,1,0,0,0
S000188,2026-05-18,Treatment,Desktop,Organic Search,Domestic,1,0,0,0
S000189,2026-05-19,Control,Mobile,Paid Search,Domestic,0,0,0,0
S000190,2026-05-25,Treatment,Desktop,Paid Search,Domestic,0,0,0,0
S000191,2026-05-09,Control,Mobile,Direct,Domestic,1,1,0,0
S000192,2026-05-05,Treatment,Mobile,Direct,Caribbean,1,1,0,0
S000193,2026-05-10,Control,Mobile,Direct,Domestic,0,0,0,0
S000194,2026-05-12,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000195,2026-05-27,Control,Desktop,Organic Search,International,1,1,1,200.05
S000196,2026-05-25,Treatment,Tablet,Organic Search,Domestic,1,1,1,364.66
S000197,2026-05-19,Control,Mobile,Direct,Domestic,0,0,0,0
S000198,2026-05-12,Treatment,Mobile,Direct,Domestic,1,0,0,0
S000199,2026-05-19,Control,Mobile,Direct,Domestic,1,0,0,0
S000200,2026-05-24,Treatment,Desktop,Email,Domestic,0,0,0,0
S000201,2026-05-11,Control,Desktop,Email,Domestic,1,0,0,0
S000202,2026-05-16,Treatment,Desktop,Direct,International,1,1,0,0
S000203,2026-05-10,Control,Desktop,Organic Search,Domestic,1,1,0,0
S000204,2026-05-06,Treatment,Mobile,Direct,Caribbean,1,1,1,451.63
S000205,2026-05-20,Control,Mobile,Direct,Domestic,0,0,0,0
S000206,2026-05-27,Treatment,Desktop,Direct,Domestic,0,0,0,0
S000207,2026-05-01,Control,Mobile,Organic Search,Domestic,1,0,0,0
S000208,2026-05-13,Treatment,Mobile,Direct,Domestic,1,0,0,0
S000209,2026-05-03,Control,Mobile,Email,Domestic,0,0,0,0
S000210,2026-05-26,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000211,2026-05-02,Control,Mobile,Organic Search,Caribbean,1,0,0,0
S000212,2026-05-17,Treatment,Desktop,Direct,Domestic,1,1,1,335.89
S000213,2026-05-09,Control,Desktop,Paid Search,Domestic,0,0,0,0
S000214,2026-05-04,Treatment,Mobile,Direct,Caribbean,0,0,0,0
S000215,2026-05-05,Control,Mobile,Email,Domestic,0,0,0,0
S000216,2026-05-21,Treatment,Tablet,Email,Domestic,1,0,0,0
S000217,2026-05-09,Control,Mobile,Organic Search,Caribbean,0,0,0,0
S000218,2026-05-27,Treatment,Desktop,Direct,Domestic,1,1,0,0
S000219,2026-05-26,Control,Mobile,Organic Search,International,0,0,0,0
S000220,2026-05-13,Treatment,Desktop,Organic Search,Domestic,1,1,0,0
S000221,2026-05-12,Control,Desktop,Direct,Caribbean,0,0,0,0
S000222,2026-05-01,Treatment,Mobile,Organic Search,Domestic,1,0,0,0
S000223,2026-05-23,Control,Mobile,Paid Search,Caribbean,0,0,0,0
S000224,2026-05-04,Treatment,Desktop,Email,Caribbean,1,1,1,444.36
S000225,2026-05-04,Control,Mobile,Organic Search,International,0,0,0,0
S000226,2026-05-04,Treatment,Mobile,Organic Search,International,1,0,0,0
S000227,2026-05-09,Control,Mobile,Direct,Caribbean,1,1,0,0
S000228,2026-05-24,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000229,2026-05-12,Control,Mobile,Direct,Domestic,1,0,0,0
S000230,2026-05-27,Treatment,Mobile,Email,Domestic,1,1,0,0
S000231,2026-05-24,Control,Desktop,Organic Search,Caribbean,0,0,0,0
S000232,2026-05-21,Treatment,Desktop,Organic Search,Domestic,0,0,0,0
S000233,2026-05-27,Control,Mobile,Direct,Caribbean,0,0,0,0
S000234,2026-05-25,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000235,2026-05-06,Control,Mobile,Direct,Domestic,0,0,0,0
S000236,2026-05-26,Treatment,Mobile,Paid Search,Domestic,1,0,0,0
S000237,2026-05-11,Control,Mobile,Organic Search,International,0,0,0,0
S000238,2026-05-21,Treatment,Mobile,Direct,Domestic,1,0,0,0
S000239,2026-05-09,Control,Desktop,Direct,Domestic,0,0,0,0
S000240,2026-05-20,Treatment,Tablet,Direct,Domestic,1,1,0,0
S000241,2026-05-05,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000242,2026-05-22,Treatment,Mobile,Paid Search,Domestic,1,1,1,337.21
S000243,2026-05-03,Control,Mobile,Direct,Domestic,1,1,0,0
S000244,2026-05-21,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000245,2026-05-20,Control,Desktop,Organic Search,Domestic,1,0,0,0
S000246,2026-05-25,Treatment,Mobile,Paid Search,Domestic,1,1,0,0
S000247,2026-05-10,Control,Mobile,Organic Search,Caribbean,1,0,0,0
S000248,2026-05-17,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000249,2026-05-07,Control,Mobile,Organic Search,International,1,0,0,0
S000250,2026-05-08,Treatment,Mobile,Organic Search,Caribbean,0,0,0,0
S000251,2026-05-12,Control,Mobile,Direct,Domestic,1,1,1,343.58
S000252,2026-05-02,Treatment,Mobile,Organic Search,Domestic,1,1,0,0
S000253,2026-05-06,Control,Mobile,Paid Search,Domestic,0,0,0,0
S000254,2026-05-24,Treatment,Mobile,Organic Search,Domestic,1,1,0,0
S000255,2026-05-06,Control,Desktop,Direct,Caribbean,1,1,0,0
S000256,2026-05-16,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
S000257,2026-05-05,Control,Desktop,Email,Caribbean,1,0,0,0
S000258,2026-05-07,Treatment,Mobile,Organic Search,Domestic,1,0,0,0
S000259,2026-05-18,Control,Mobile,Direct,Domestic,0,0,0,0
S000260,2026-05-17,Treatment,Desktop,Paid Search,Domestic,0,0,0,0
S000261,2026-05-12,Control,Mobile,Direct,International,1,1,1,390.47
S000262,2026-05-18,Treatment,Mobile,Organic Search,International,1,1,0,0
S000263,2026-05-16,Control,Desktop,Paid Search,International,0,0,0,0
S000264,2026-05-27,Treatment,Mobile,Direct,Caribbean,1,0,0,0
S000265,2026-05-14,Control,Mobile,Paid Search,Caribbean,0,0,0,0
S000266,2026-05-07,Treatment,Desktop,Email,Caribbean,1,1,0,0
S000267,2026-05-16,Control,Mobile,Direct,Domestic,1,1,0,0
S000268,2026-05-26,Treatment,Mobile,Organic Search,Domestic,1,0,0,0
S000269,2026-05-10,Control,Mobile,Direct,Caribbean,0,0,0,0
S000270,2026-05-18,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
S000271,2026-05-11,Control,Mobile,Paid Search,Caribbean,1,0,0,0
S000272,2026-05-21,Treatment,Mobile,Paid Search,Caribbean,1,1,1,458.79
S000273,2026-05-20,Control,Mobile,Organic Search,International,1,1,0,0
S000274,2026-05-26,Treatment,Mobile,Organic Search,Caribbean,1,1,0,0
S000275,2026-05-19,Control,Desktop,Paid Search,Domestic,0,0,0,0
S000276,2026-05-09,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000277,2026-05-07,Control,Desktop,Email,Domestic,1,0,0,0
S000278,2026-05-15,Treatment,Mobile,Paid Search,Domestic,1,0,0,0
S000279,2026-05-25,Control,Desktop,Email,Domestic,1,0,0,0
S000280,2026-05-07,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
S000281,2026-05-18,Control,Desktop,Email,Caribbean,1,1,0,0
S000282,2026-05-26,Treatment,Mobile,Organic Search,Caribbean,1,0,0,0
S000283,2026-05-09,Control,Mobile,Direct,Domestic,1,0,0,0
S000284,2026-05-12,Treatment,Desktop,Organic Search,Domestic,0,0,0,0
S000285,2026-05-22,Control,Mobile,Direct,Domestic,0,0,0,0
S000286,2026-05-05,Treatment,Desktop,Paid Search,Domestic,0,0,0,0
S000287,2026-05-11,Control,Mobile,Organic Search,Domestic,1,0,0,0
S000288,2026-05-13,Treatment,Mobile,Direct,Domestic,1,0,0,0
S000289,2026-05-21,Control,Mobile,Email,Domestic,1,0,0,0
S000290,2026-05-25,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000291,2026-05-21,Control,Desktop,Paid Search,Domestic,1,0,0,0
S000292,2026-05-11,Treatment,Mobile,Paid Search,Domestic,1,1,0,0
S000293,2026-05-08,Control,Mobile,Organic Search,Caribbean,1,1,0,0
S000294,2026-05-16,Treatment,Tablet,Direct,Domestic,0,0,0,0
S000295,2026-05-15,Control,Mobile,Email,Domestic,1,1,1,445.3
S000296,2026-05-04,Treatment,Mobile,Paid Search,Caribbean,0,0,0,0
S000297,2026-05-02,Control,Desktop,Email,Domestic,1,0,0,0
S000298,2026-05-03,Treatment,Tablet,Email,International,1,1,0,0
S000299,2026-05-18,Control,Desktop,Paid Search,Domestic,1,1,0,0
S000300,2026-05-13,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000301,2026-05-10,Control,Desktop,Email,Caribbean,1,1,0,0
S000302,2026-05-21,Treatment,Mobile,Email,Domestic,0,0,0,0
S000303,2026-05-08,Control,Tablet,Direct,Domestic,1,1,0,0
S000304,2026-05-04,Treatment,Mobile,Paid Search,International,1,0,0,0
S000305,2026-05-09,Control,Mobile,Direct,Caribbean,0,0,0,0
S000306,2026-05-26,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000307,2026-05-12,Control,Desktop,Organic Search,Domestic,1,1,0,0
S000308,2026-05-11,Treatment,Desktop,Paid Search,Domestic,1,0,0,0
S000309,2026-05-08,Control,Tablet,Organic Search,Domestic,0,0,0,0
S000310,2026-05-11,Treatment,Desktop,Paid Search,Caribbean,1,1,0,0
S000311,2026-05-13,Control,Desktop,Organic Search,Caribbean,0,0,0,0
S000312,2026-05-17,Treatment,Desktop,Email,Caribbean,1,1,0,0
S000313,2026-05-28,Control,Tablet,Paid Search,International,1,0,0,0
S000314,2026-05-05,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000315,2026-05-27,Control,Mobile,Direct,Domestic,0,0,0,0
S000316,2026-05-13,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000317,2026-05-08,Control,Mobile,Direct,Domestic,1,1,1,212.23
S000318,2026-05-26,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000319,2026-05-01,Control,Desktop,Direct,Domestic,1,1,1,301.48
S000320,2026-05-27,Treatment,Mobile,Paid Search,Domestic,1,1,1,464.93
S000321,2026-05-24,Control,Mobile,Organic Search,Domestic,1,1,0,0
S000322,2026-05-11,Treatment,Mobile,Direct,Caribbean,1,0,0,0
S000323,2026-05-15,Control,Desktop,Direct,Domestic,1,1,0,0
S000324,2026-05-17,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000325,2026-05-23,Control,Mobile,Organic Search,Domestic,1,1,0,0
S000326,2026-05-23,Treatment,Mobile,Paid Search,Domestic,1,0,0,0
S000327,2026-05-14,Control,Mobile,Direct,Domestic,0,0,0,0
S000328,2026-05-04,Treatment,Mobile,Paid Search,Domestic,1,0,0,0
S000329,2026-05-18,Control,Mobile,Direct,Caribbean,1,1,0,0
S000330,2026-05-18,Treatment,Mobile,Direct,Caribbean,1,0,0,0
S000331,2026-05-03,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000332,2026-05-04,Treatment,Mobile,Paid Search,Domestic,1,1,0,0
S000333,2026-05-07,Control,Mobile,Organic Search,Caribbean,1,1,0,0
S000334,2026-05-14,Treatment,Desktop,Paid Search,Domestic,1,0,0,0
S000335,2026-05-21,Control,Desktop,Paid Search,Caribbean,1,1,0,0
S000336,2026-05-26,Treatment,Mobile,Paid Search,Caribbean,0,0,0,0
S000337,2026-05-01,Control,Mobile,Direct,Domestic,1,1,0,0
S000338,2026-05-12,Treatment,Desktop,Paid Search,Domestic,1,1,0,0
S000339,2026-05-15,Control,Mobile,Paid Search,Domestic,1,1,1,245.92
S000340,2026-05-23,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000341,2026-05-01,Control,Desktop,Email,Domestic,0,0,0,0
S000342,2026-05-20,Treatment,Mobile,Organic Search,Domestic,1,1,0,0
S000343,2026-05-21,Control,Mobile,Direct,Caribbean,1,1,1,150.85
S000344,2026-05-08,Treatment,Mobile,Email,Domestic,0,0,0,0
S000345,2026-05-11,Control,Mobile,Direct,Domestic,1,1,0,0
S000346,2026-05-14,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000347,2026-05-15,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000348,2026-05-17,Treatment,Mobile,Paid Search,Domestic,1,1,0,0
S000349,2026-05-11,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000350,2026-05-18,Treatment,Mobile,Paid Search,Domestic,1,0,0,0
S000351,2026-05-14,Control,Mobile,Direct,Caribbean,1,0,0,0
S000352,2026-05-25,Treatment,Mobile,Direct,Domestic,1,0,0,0
S000353,2026-05-08,Control,Desktop,Paid Search,Caribbean,1,1,0,0
S000354,2026-05-16,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
S000355,2026-05-09,Control,Mobile,Paid Search,Domestic,0,0,0,0
S000356,2026-05-12,Treatment,Desktop,Direct,International,0,0,0,0
S000357,2026-05-21,Control,Desktop,Email,Domestic,1,1,0,0
S000358,2026-05-19,Treatment,Mobile,Paid Search,Domestic,1,1,0,0
S000359,2026-05-15,Control,Mobile,Direct,Domestic,1,0,0,0
S000360,2026-05-19,Treatment,Mobile,Email,Domestic,0,0,0,0
S000361,2026-05-04,Control,Desktop,Paid Search,Domestic,0,0,0,0
S000362,2026-05-23,Treatment,Mobile,Organic Search,Caribbean,1,0,0,0
S000363,2026-05-16,Control,Tablet,Organic Search,Caribbean,0,0,0,0
S000364,2026-05-18,Treatment,Desktop,Organic Search,Caribbean,0,0,0,0
S000365,2026-05-20,Control,Mobile,Direct,Domestic,1,0,0,0
